"","mpg","graphed_y"
"Mazda RX4",21,2.62
"Mazda RX4 Wag",21,2.875
"Datsun 710",22.8,2.32
"Hornet 4 Drive",21.4,3.215
"Hornet Sportabout",18.7,3.44
"Valiant",18.1,3.46
"Duster 360",14.3,3.57
"Merc 240D",24.4,3.19
"Merc 230",22.8,3.15
"Merc 280",19.2,3.44
"Merc 280C",17.8,3.44
"Merc 450SE",16.4,4.07
"Merc 450SL",17.3,3.73
"Merc 450SLC",15.2,3.78
"Cadillac Fleetwood",10.4,5.25
"Lincoln Continental",10.4,5.424
"Chrysler Imperial",14.7,5.345
"Fiat 128",32.4,2.2
"Honda Civic",30.4,1.615
"Toyota Corolla",33.9,1.835
"Toyota Corona",21.5,2.465
"Dodge Challenger",15.5,3.52
"AMC Javelin",15.2,3.435
"Camaro Z28",13.3,3.84
"Pontiac Firebird",19.2,3.845
"Fiat X1-9",27.3,1.935
"Porsche 914-2",26,2.14
"Lotus Europa",30.4,1.513
"Ford Pantera L",15.8,3.17
"Ferrari Dino",19.7,2.77
"Maserati Bora",15,3.57
"Volvo 142E",21.4,2.78
